iter,games,net,AspirationDelta,AspirationWidenPct,RfpMargin,RfpMaxDepth,LmrMinDepth,LmrMinMoveIndex,LmrDepth6At,LmrDeepAt,HistoryBonusMultPct
230,16,+0.1250,119.72,145.91,95.05,8.37,2.03,3.22,4.74,10.37,97.90
231,16,+0.1250,119.58,145.83,95.12,8.38,2.02,3.21,4.75,10.38,97.97
232,16,-0.1250,119.43,145.91,95.18,8.40,2.03,3.20,4.74,10.40,97.90
233,16,-0.1875,119.65,146.03,95.08,8.42,2.04,3.21,4.73,10.42,98.00
234,16,+0.1250,119.80,146.10,95.02,8.44,2.05,3.20,4.73,10.44,98.06
235,16,+0.2500,120.09,145.95,94.90,8.40,2.04,3.19,4.75,10.40,97.94
236,16,-0.1875,119.87,145.83,94.81,8.43,2.02,3.20,4.74,10.43,97.84
237,16,+0.0625,119.94,145.79,94.77,8.44,2.02,3.20,4.74,10.42,97.87
238,16,-0.2500,119.65,145.95,94.65,8.47,2.04,3.21,4.76,10.45,98.00
239,16,+0.0000,119.65,145.95,94.65,8.47,2.04,3.21,4.76,10.45,98.00
240,16,-0.3125,120.02,146.14,94.50,8.50,2.02,3.23,4.74,10.49,98.15
241,16,-0.0625,120.09,146.10,94.53,8.51,2.02,3.23,4.73,10.48,98.18
242,16,-0.0625,120.02,146.14,94.50,8.50,2.02,3.23,4.74,10.47,98.21
243,16,+0.3750,120.45,146.37,94.32,8.55,2.05,3.21,4.76,10.43,98.03
244,16,-0.1250,120.31,146.29,94.26,8.57,2.04,3.22,4.77,10.41,97.97
245,16,-0.3125,120.67,146.10,94.10,8.60,2.02,3.20,4.75,10.45,98.12
246,16,-0.1250,120.81,146.03,94.04,8.62,2.01,3.20,4.76,10.44,98.18
247,16,-0.1250,120.67,145.95,94.10,8.60,2.01,3.21,4.75,10.45,98.12
248,16,+0.1250,120.81,146.03,94.04,8.62,2.00,3.22,4.76,10.47,98.18
249,16,-0.0625,120.74,145.99,94.01,8.63,2.00,3.22,4.75,10.47,98.15
250,16,+0.3750,121.17,146.21,93.83,8.58,2.00,3.19,4.73,10.52,98.33
251,16,+0.0000,121.17,146.21,93.83,8.58,2.00,3.19,4.73,10.52,98.33
252,16,+0.0000,121.17,146.21,93.83,8.58,2.00,3.19,4.73,10.52,98.33
253,16,+0.1875,121.38,146.33,93.74,8.56,2.00,3.20,4.72,10.50,98.42
254,16,+0.0625,121.45,146.36,93.77,8.57,2.00,3.20,4.72,10.50,98.39
255,16,+0.3125,121.10,146.55,93.62,8.60,2.00,3.22,4.74,10.54,98.54
256,16,-0.2500,120.81,146.40,93.51,8.57,2.00,3.23,4.73,10.51,98.66
257,16,+0.0000,120.81,146.40,93.51,8.57,2.00,3.23,4.73,10.51,98.66
258,16,+0.0000,120.81,146.40,93.51,8.57,2.00,3.23,4.73,10.51,98.66
259,16,+0.1250,120.67,146.33,93.56,8.59,2.00,3.23,4.72,10.53,98.60
260,16,+0.0625,120.60,146.29,93.59,8.60,2.00,3.22,4.72,10.53,98.57
261,16,+0.1250,120.74,146.22,93.54,8.58,2.01,3.22,4.73,10.55,98.63
262,16,-0.1250,120.60,146.14,93.48,8.57,2.00,3.21,4.74,10.56,98.69
263,16,-0.0625,120.53,146.11,93.45,8.56,2.00,3.20,4.74,10.57,98.71
264,16,-0.1250,120.40,146.18,93.51,8.54,2.01,3.21,4.73,10.58,98.66
265,16,-0.3125,120.05,146.00,93.36,8.51,2.00,3.23,4.75,10.62,98.51
266,16,-0.0625,120.12,146.03,93.33,8.52,2.00,3.23,4.75,10.63,98.54
267,16,-0.0625,120.19,146.07,93.30,8.51,2.00,3.23,4.75,10.64,98.57
268,16,-0.1250,120.05,146.14,93.24,8.52,2.01,3.22,4.75,10.65,98.63
269,16,+0.1250,119.91,146.07,93.19,8.54,2.00,3.23,4.76,10.64,98.57
270,16,-0.1875,120.12,145.96,93.27,8.52,2.01,3.24,4.77,10.61,98.48
271,16,-0.0625,120.05,145.93,93.24,8.52,2.01,3.24,4.78,10.62,98.45
272,16,+0.0000,120.05,145.93,93.24,8.52,2.01,3.24,4.78,10.62,98.45
273,16,+0.1250,119.91,145.85,93.30,8.54,2.00,3.23,4.77,10.61,98.40
274,16,-0.0625,119.98,145.82,93.27,8.53,2.01,3.23,4.77,10.60,98.42
275,16,-0.0625,120.05,145.78,93.24,8.52,2.01,3.23,4.77,10.59,98.40
276,16,+0.3125,120.39,145.60,93.10,8.56,2.03,3.25,4.76,10.63,98.25
277,16,+0.0625,120.32,145.57,93.07,8.55,2.03,3.25,4.75,10.64,98.28
278,16,+0.0000,120.32,145.57,93.07,8.55,2.03,3.25,4.75,10.64,98.28
279,16,-0.0625,120.25,145.53,93.10,8.54,2.03,3.26,4.75,10.64,98.25
280,16,+0.1250,120.39,145.60,93.04,8.56,2.04,3.26,4.74,10.66,98.20
281,16,+0.1875,120.19,145.71,93.13,8.54,2.05,3.27,4.73,10.64,98.28
282,16,-0.1875,120.39,145.60,93.04,8.52,2.06,3.28,4.74,10.66,98.20
283,16,+0.0625,120.32,145.57,93.07,8.52,2.06,3.29,4.74,10.65,98.17
